collected_at,keyword,product_id,title,price,mall,brand,maker,ram,ssd,cpu,link,spec_score,value_score,model_key,seller_count,mall_count,min_price_in_group,max_price_in_group,price_gap_in_group,buy_decision,decision_reason
2026-06-22 01:48:13,리퍼 LG그램,59520541242,[리퍼] LG 그램 15Z90N 10세대 i7 16G 512G Win10,999000,GSSHOP,LG전자,LG전자,16GB,512GB,i7,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1023188843&vodFlag=N&prdseqnum=1023188843&utm_source=price&utm_medium=affiliate&utm_campaign=naver,143.6,143.74,LG전자|리퍼LG그램15Z90N10세대I716G512GWIN10|i7|16GB|512GB,3,3,999000,1257900,258900,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다. 다만 판매처별 가격 차이가 커서 최저가 판매처 확인이 필요합니다.
2026-07-02 04:20:51,리퍼 맥북,90740303951,Apple 리퍼제품 MacBook Air 2020 13.3인치인텔 코어 i7 16GB RAM 1TB SSD 스토리지 - 스페이스 그레이리퍼제품,1216160,볼트르마켓,Apple,Apple,16GB,1TB,i7,https://smartstore.naver.com/main/products/13195792854,169.2,139.13,Apple|MacBook Air 2020|i7|16GB|1TB,1,1,1216160,1216160,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 LG그램,91077520348,중고 LG그램 14Z90Q i5-12세대 RAM16GB NVME512GB 14인치 윈도우11 무선마우스증정,899000,동우네트워크,LG그램,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13533009995,123.6,137.49,LG전자|중고LG그램14Z90QI512세대RAM16GBNVME5|i5|16GB|512GB,1,1,899000,899000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 LG그램,60072780398,엘지 그램 gram 노트북 중고 17인치 i7 10세대 17Z995 RAM 16G SSD512G,1050000,11번가,LG전자,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9359433336&tid=1000000061,143.6,136.76,LG전자|엘지그램GRAM노트북중고17인치I710세대17Z995R|i7|16GB|512GB,1,1,1050000,1050000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-24 22:15:52,리퍼 ThinkPad,60089593838,[업그레이드 리퍼] 레노버 싱크패드 T470 14인치 16G/512G FHD 윈10 508019,557600,11번가,UNKNOWN,,16GB,512GB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9187838602&tid=1000000061,73.6,131.99,레노버|업그레이드리퍼레노버싱크패드T47014인치16G512GF||16GB|512GB,1,1,557600,557600,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-19 09:42:50,리퍼 갤럭시북,91152200577,[리퍼] 삼성 갤럭시북 프로 NT951XDB 11세대 i5 램16G SSD1TB 윈11 울트라슬림 573550,1143520,라이프하우스6,삼성,삼성전자,16GB,1TB,i5,https://smartstore.naver.com/main/products/13607690165,149.2,130.47,삼성전자|NT951XDB11|i5|16GB|1TB,1,1,1143520,1143520,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-23 10:08:59,리퍼 LG그램,88809262625,[업그레이드 리퍼] LG전자 그램15 i5-11세대 16G/512G 나이스컨 윈11,959000,뉴딕션 몰,LG그램,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/11264752294,123.6,128.88,LG전자|업그레이드리퍼LG전자그램15I511세대16G512G나이|i5|16GB|512GB,1,1,959000,959000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-22 08:28:29,리퍼 LG그램,59819353830,[리퍼] LG 그램 노트북 14ZB995 10세대 i5 DDR4 16G NVME512G 윈 573438,968300,11번가,LG전자,,16GB,512GB,i5,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9308490740&tid=1000000061,123.6,127.65,LG전자|리퍼LG그램노트북14ZB99510세대I5DDR416GN|i5|16GB|512GB,1,1,968300,968300,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 노트북,89522905308,삼성 NT761XDA RTX3050Ti i5 램16GB SSD512G Win11 게이밍,999000,세컨핸드스토어,삼성,삼성전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/11978394620,123.6,123.72,삼성전자|NT761XDARTX3050TII5|i5|16GB|512GB,1,1,999000,999000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-26 23:53:43,리퍼 갤럭시북,59819582910,[리퍼] 삼성 갤럭시북 pro NT951XDB 11세대 i7 16G NVMe512G 윈11 실버 573548,1169700,11번가,삼성,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9308451885&tid=1000000061,143.6,122.77,삼성전자|NT951XDB11|i7|16GB|512GB,1,1,1169700,1169700,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-25 23:04:28,중고 노트북,91171087777,LG 노트북 gram 가벼운 노트북 인텔 i5 16G SSD1TB 15ZB95N,1234000,일체형pc  중고노트북,그램15,LG전자,16GB,1TB,i5,https://smartstore.naver.com/main/products/13626577168,149.2,120.91,그램15|LG노트북GRAM가벼운노트북인텔I516GSSD1TB15|i5|16GB|1TB,1,1,1234000,1234000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-26 23:53:43,리퍼 맥북,91099915338,Apple M1 칩 13.3인치 16GB RAM 1TB SSD 스페이스 그레이가 탑재된 Late 2020 MacBook Pro 리퍼제품,1329440,스마트아울렛1,Apple,Apple,16GB,1TB,Apple M1,https://smartstore.naver.com/main/products/13555404971,159.2,119.75,Apple|MacBook Pro 2020|Apple M1|16GB|1TB,1,1,1329440,1329440,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 LG그램,91174152806,엘지 gram노트북 SSD1TB 윈도우11 그램 15ZB90Q i5 1240P 램16기가,1299000,일체형pc  중고노트북,LG전자,LG전자,16GB,1TB,i5,https://smartstore.naver.com/main/products/13629642197,149.2,114.86,LG전자|엘지GRAM노트북SSD1TB윈도우11그램15ZB90QI|i5|16GB|1TB,1,1,1299000,1299000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-26 23:53:43,중고 노트북,91165398577,LG 가벼운 노트북 Gram 15 인텔 i5 16G SSD512G 15ZB95N,1109000,일체형pc  중고노트북,그램15,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13620888160,123.6,111.45,그램15|LG가벼운노트북GRAM15인텔I516GSSD512G15|i5|16GB|512GB,1,1,1109000,1109000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-19 15:51:57,리퍼 LG그램,91152624754,[리퍼] LG그램 15Z90Q 12세대 i5 16G 1TB 윈도우포함 사무용 노트북 573431,1351600,라이프하우스6,LG전자,LG전자,16GB,1TB,i5,https://smartstore.naver.com/main/products/13608114342,149.2,110.39,LG전자|리퍼LG그램15Z90Q12세대I516G1TB윈도우포함사|i5|16GB|1TB,1,1,1351600,1351600,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-18 08:18:16,중고 노트북,91174085265,LG 노트북 10세대 15U50N MX250 10세대 16GB SSD512G WIN11,679000,일체형pc  중고노트북,LG전자,,16GB,512GB,,https://smartstore.naver.com/main/products/13629574656,73.6,108.39,LG전자|15U50N||16GB|512GB,1,1,679000,679000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,리퍼 LG그램,59588812302,LG전자 (현대Hmall)리퍼 LG그램 15ZB95N 인텔 i5 11세대 램16기가 SSD512GB 가벼운 노트북 윈11,1141440,G마켓,LG전자,LG전자,16GB,512GB,i5,https://link.gmarket.co.kr/gate/pcs?item-no=4722235781&sub-id=1003&service-code=10000003&lcd=100000002,123.6,108.28,LG전자|LG전자현대HMALL리퍼LG그램15ZB95N인텔I511|i5|16GB|512GB,1,1,1141440,1141440,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-25 23:04:28,중고 LG그램,91174139223,LG gram 15ZB90Q 인텔i5 12세대 노트북 16GB SSD512GB WIN11,1169000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13629628614,123.6,105.73,LG전자|LGGRAM15ZB90Q인텔I512세대노트북16GBSS|i5|16GB|512GB,1,1,1169000,1169000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-24 11:09:30,리퍼 맥북,91140987263,Apple 리퍼제품 2024 MacBook Air와 M3 칩13인치 24GB RAM 512GB SSD 스토리지 자정리퍼제품,1891120,플러스아울렛1,Apple,Apple,24GB,512GB,Apple M3,https://smartstore.naver.com/main/products/13596476851,177.6,93.91,Apple|MacBook Air 2024|Apple M3|24GB|512GB,1,1,1891120,1891120,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,리퍼 맥북,90740068086,Apple 리퍼제품 2024 맥북 에어 M3 칩 포함 15인치 24GB RAM 512GB SSD 스토리지 스타라이트리퍼제품,1891120,볼트르마켓,Apple,Apple,24GB,512GB,Apple M3,https://smartstore.naver.com/main/products/13195556990,177.6,93.91,Apple|APPLE리퍼제품2024맥북에어M3칩포함15인치24GB|Apple M3|24GB|512GB,1,1,1891120,1891120,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-26 23:53:43,리퍼 ThinkPad,91094324756,Lenovo 리퍼제품 ThinkPad E15 Gen 4 15.6 FHD IPS 디스플레이 비즈니스 노트북 AMD Ryzen 7 5825U 16GB RAM 1TB SSD Wi-,1818160,제스트아울렛,레노버,레노버,16GB,1TB,Ryzen 7,https://smartstore.naver.com/main/products/13549814403,169.2,93.06,레노버|ThinkPad|Ryzen 7|16GB|1TB,1,1,1818160,1818160,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-26 23:53:43,리퍼 맥북,91140891747,Apple 리퍼제품 2022 MacBook Pro애플 M2 칩 포함13인치 16GB RAM 512GB SSD 스토리지QWERTY 영어 실버프리미엄 Silver,1904720,플러스아울렛1,Apple,Apple,16GB,512GB,Apple M2,https://smartstore.naver.com/main/products/13596381335,143.6,75.39,Apple|MacBook Pro 2022|Apple M2|16GB|512GB,1,1,1904720,1904720,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,리퍼 갤럭시북,90739609253,Samsung 리퍼제품 삼성 갤럭시 북5 프로 14 U7-258V 32GB 1TB 그레이,1980320,볼트르마켓,삼성,삼성전자,32GB,1TB,,https://smartstore.naver.com/main/products/13195098156,147.2,74.33,삼성전자|SAMSUNG리퍼제품삼성갤럭시북5프로14U7258V32||32GB|1TB,1,1,1980320,1980320,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,리퍼 맥북,90583245166,Apple M2 Pro 칩 16인치 32GB RAM 1TB SSD 스페이스 그레이가 탑재된 MacBook 리퍼제품,3127840,카오아울렛,Apple,Apple,32GB,1TB,Apple M2,https://smartstore.naver.com/main/products/13038734074,217.2,69.44,Apple|APPLEM2PRO칩16인치32GBRAM1TBSSD스페|Apple M2|32GB|1TB,1,1,3127840,3127840,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-26 10:38:46,리퍼 맥북,90875969050,Apple 맥북프로 14 2024년 M4 Pro 14코어 RAM 24GB 512GB,2799000,스마트리퍼몰,Apple,Apple,24GB,512GB,Apple M4,https://smartstore.naver.com/main/products/13331458718,187.6,67.02,Apple|MacBook Pro 2024|Apple M4|24GB|512GB,1,1,2799000,2799000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-24 12:01:32,리퍼 갤럭시북,90739109466,Samsung 리퍼제품 삼성 갤럭시 북4 엣지 14인치 AMOLED 터치 윈도우 11 홈 퀄컴 8CX X세대 16GB DDR5x 512GB SSD 사파이어 블루리퍼제품,1379200,볼트르마켓,삼성,삼성전자,16GB,512GB,,https://smartstore.naver.com/main/products/13194598369,73.6,53.36,삼성전자|SAMSUNG리퍼제품삼성갤럭시북4엣지14인치AMOLED||16GB|512GB,1,1,1379200,1379200,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-20 12:31:34,리퍼 갤럭시북,59735715161,삼성 가성비 리퍼 노트북 갤럭시북5프로 16인치 NT960XHA 울트라5 16GB 1TB,1990000,11번가,삼성,,16GB,1TB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9163049395&tid=1000000061,99.2,49.85,삼성전자|NT960XHA||16GB|1TB,1,1,1990000,1990000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-26 23:53:43,중고 LG그램,58891973447,중고노트북 LG그램 16인치 16z90s 16인치/16GB/512GB,1598000,11번가,LG그램,,16GB,512GB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9100233135&tid=1000000061,73.6,46.06,LG전자|중고노트북LG그램16인치16Z90S16인치16GB512||16GB|512GB,2,2,1598000,1728330,130330,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다. 다만 판매처별 가격 차이가 커서 최저가 판매처 확인이 필요합니다.
2026-06-18 08:18:16,리퍼 노트북,60421073463,LG 그램 16Z90S-VP55 울트라5 16GB 512GB 윈11프로 리퍼 노트북,1949000,옥션,,,16GB,512GB,,https://link.auction.co.kr/gate/pcs?item-no=F586492217&sub-id=1&service-code=10000003,73.6,37.76,|LG그램16Z90SVP55울트라516GB512GB윈11||16GB|512GB,1,1,1949000,1949000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,리퍼 LG그램,91175326796,LG 그램 16Z90S-VP55 울트라5 16GB 512GB 윈11프로 리퍼 노트북,1949000,보스위즈,LG그램,LG전자,16GB,512GB,,https://smartstore.naver.com/main/products/13630816132,73.6,37.76,LG전자|LG그램16Z90SVP55울트라516GB512GB윈11||16GB|512GB,1,1,1949000,1949000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-26 23:53:43,리퍼 LG그램,60602606424,오엠티 1+1 LG그램 노트북 리퍼 16인치 울트라9 시리즈2 SSD 2TB AI 32GB,6836460,롯데ON,OMT,,32GB,2TB,i3,https://www.lotteon.com/p/product/LO2708542060?sitmNo=LO2708542060_2708542061&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,228.4,33.41,OMT|오엠티11LG그램노트북리퍼16인치울트라9시리즈2SSD2|i3|32GB|2TB,1,1,6836460,6836460,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,리퍼 LG그램,91175326601,LG 그램 17Z90TL-GU75 울트라7 16GB 512GB 코파일럿 AI 노트북 리퍼,2349000,보스위즈,LG그램,LG전자,16GB,512GB,,https://smartstore.naver.com/main/products/13630815937,73.6,31.33,LG전자|LG그램17Z90TLGU75울트라716GB512GB코파||16GB|512GB,1,1,2349000,2349000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,리퍼 맥북,90739356146,Apple 리퍼제품 2025 MacBook Pro애플 M5 칩 포함14인치 16GB RAM 512GB SSD 스토리지 스페이스 블랙리퍼제품,2558640,볼트르마켓,Apple,Apple,16GB,512GB,,https://smartstore.naver.com/main/products/13194845049,73.6,28.77,Apple|MacBook Pro 2025||16GB|512GB,1,1,2558640,2558640,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,리퍼 LG그램,60602149641,1+1 LG그램 노트북 리퍼 16인치 울트라7 시리즈2 SSD 1TB 32GB WIN11,6799900,11번가,OMT,,32GB,1TB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9453459882&tid=1000000061,147.2,21.65,OMT|11LG그램노트북리퍼16인치울트라7시리즈2SSD1TB3||32GB|1TB,1,1,6799900,6799900,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
